Runde 1 - gestartet um 2024-06-01 13:11:39.008755025 +02:00 - beendet um 2024-06-01 13:11:44.031627978 +02:00:
Lamportzeit zu Rundenstart: 1 und zu Rundenende: 598
Spieler_95 hat eine 67 gewürfelt! (START-Nachricht erhalten: 13:11:39.10154, Antwort gesendet: 13:11:44.10310, Lamport-Zeit: 2)
Spieler_477 hat eine 13 gewürfelt! (START-Nachricht erhalten: 13:11:39.15435, Antwort gesendet: 13:11:44.15555, Lamport-Zeit: 2)
Spieler_895 hat eine 25 gewürfelt! (START-Nachricht erhalten: 13:11:39.21589, Antwort gesendet: 13:11:40.21743, Lamport-Zeit: 2)
Spieler_879 hat eine 28 gewürfelt! (START-Nachricht erhalten: 13:11:39.21355, Antwort gesendet: 13:11:43.21513, Lamport-Zeit: 2)
Spieler_601 hat eine 17 gewürfelt! (START-Nachricht erhalten: 13:11:39.17151, Antwort gesendet: 13:11:43.17317, Lamport-Zeit: 2)
Spieler_871 hat eine 41 gewürfelt! (START-Nachricht erhalten: 13:11:39.21238, Antwort gesendet: 13:11:44.21401, Lamport-Zeit: 2)
Spieler_672 hat eine 1 gewürfelt! (START-Nachricht erhalten: 13:11:39.18273, Antwort gesendet: 13:11:42.18437, Lamport-Zeit: 2)
Spieler_237 hat eine 98 gewürfelt! (START-Nachricht erhalten: 13:11:39.12132, Antwort gesendet: 13:11:40.12289, Lamport-Zeit: 2)
Spieler_562 hat eine 24 gewürfelt! (START-Nachricht erhalten: 13:11:39.16611, Antwort gesendet: 13:11:41.16756, Lamport-Zeit: 2)
Spieler_804 hat eine 86 gewürfelt! (START-Nachricht erhalten: 13:11:39.20155, Antwort gesendet: 13:11:41.20311, Lamport-Zeit: 2)
Spieler_175 hat eine 14 gewürfelt! (START-Nachricht erhalten: 13:11:39.11282, Antwort gesendet: 13:11:42.11470, Lamport-Zeit: 2)
Spieler_299 hat eine 50 gewürfelt! (START-Nachricht erhalten: 13:11:39.12972, Antwort gesendet: 13:11:42.13139, Lamport-Zeit: 2)
Spieler_84 hat eine 55 gewürfelt! (START-Nachricht erhalten: 13:11:39.10000, Antwort gesendet: 13:11:44.10158, Lamport-Zeit: 2)
Spieler_420 hat eine 58 gewürfelt! (START-Nachricht erhalten: 13:11:39.14633, Antwort gesendet: 13:11:40.14779, Lamport-Zeit: 2)
Spieler_471 hat eine 12 gewürfelt! (START-Nachricht erhalten: 13:11:39.15359, Antwort gesendet: 13:11:44.15530, Lamport-Zeit: 2)
Spieler_770 hat eine 38 gewürfelt! (START-Nachricht erhalten: 13:11:39.19628, Antwort gesendet: 13:11:41.19791, Lamport-Zeit: 2)
Spieler_799 hat eine 25 gewürfelt! (START-Nachricht erhalten: 13:11:39.20081, Antwort gesendet: 13:11:43.20273, Lamport-Zeit: 2)
Spieler_444 hat eine 47 gewürfelt! (START-Nachricht erhalten: 13:11:39.14977, Antwort gesendet: 13:11:43.15131, Lamport-Zeit: 2)
Spieler_560 hat eine 27 gewürfelt! (START-Nachricht erhalten: 13:11:39.16580, Antwort gesendet: 13:11:42.16739, Lamport-Zeit: 2)
Spieler_351 hat eine 54 gewürfelt! (START-Nachricht erhalten: 13:11:39.13650, Antwort gesendet: 13:11:39.13736, Lamport-Zeit: 2)
Spieler_214 hat eine 75 gewürfelt! (START-Nachricht erhalten: 13:11:39.11805, Antwort gesendet: 13:11:40.11975, Lamport-Zeit: 2)
Spieler_724 hat eine 22 gewürfelt! (START-Nachricht erhalten: 13:11:39.18902, Antwort gesendet: 13:11:40.19080, Lamport-Zeit: 2)
Spieler_848 hat eine 40 gewürfelt! (START-Nachricht erhalten: 13:11:39.20896, Antwort gesendet: 13:11:43.21049, Lamport-Zeit: 2)
Spieler_256 hat eine 92 gewürfelt! (START-Nachricht erhalten: 13:11:39.12395, Antwort gesendet: 13:11:44.12557, Lamport-Zeit: 2)
Spieler_59 hat eine 23 gewürfelt! (START-Nachricht erhalten: 13:11:39.9648, Antwort gesendet: 13:11:39.9758, Lamport-Zeit: 2)
Spieler_700 hat eine 94 gewürfelt! (START-Nachricht erhalten: 13:11:39.18590, Antwort gesendet: 13:11:42.18757, Lamport-Zeit: 2)
Spieler_710 hat eine 66 gewürfelt! (START-Nachricht erhalten: 13:11:39.18710, Antwort gesendet: 13:11:44.18873, Lamport-Zeit: 2)
Spieler_424 hat eine 31 gewürfelt! (START-Nachricht erhalten: 13:11:39.14678, Antwort gesendet: 13:11:39.14780, Lamport-Zeit: 2)
Spieler_591 hat eine 100 gewürfelt! (START-Nachricht erhalten: 13:11:39.17007, Antwort gesendet: 13:11:40.17177, Lamport-Zeit: 2)
Spieler_274 hat eine 86 gewürfelt! (START-Nachricht erhalten: 13:11:39.12639, Antwort gesendet: 13:11:40.12808, Lamport-Zeit: 2)
Spieler_248 hat eine 68 gewürfelt! (START-Nachricht erhalten: 13:11:39.12294, Antwort gesendet: 13:11:39.12395, Lamport-Zeit: 2)
Spieler_113 hat eine 59 gewürfelt! (START-Nachricht erhalten: 13:11:39.10413, Antwort gesendet: 13:11:40.10565, Lamport-Zeit: 2)
Spieler_611 hat eine 49 gewürfelt! (START-Nachricht erhalten: 13:11:39.17291, Antwort gesendet: 13:11:42.17441, Lamport-Zeit: 2)
Spieler_308 hat eine 85 gewürfelt! (START-Nachricht erhalten: 13:11:39.13083, Antwort gesendet: 13:11:41.13259, Lamport-Zeit: 2)
Spieler_434 hat eine 61 gewürfelt! (START-Nachricht erhalten: 13:11:39.14820, Antwort gesendet: 13:11:40.14939, Lamport-Zeit: 2)
Spieler_568 hat eine 42 gewürfelt! (START-Nachricht erhalten: 13:11:39.16696, Antwort gesendet: 13:11:43.16871, Lamport-Zeit: 2)
Spieler_792 hat eine 91 gewürfelt! (START-Nachricht erhalten: 13:11:39.19965, Antwort gesendet: 13:11:40.20133, Lamport-Zeit: 2)
Spieler_479 hat eine 66 gewürfelt! (START-Nachricht erhalten: 13:11:39.15471, Antwort gesendet: 13:11:40.15656, Lamport-Zeit: 2)
Spieler_478 hat eine 5 gewürfelt! (START-Nachricht erhalten: 13:11:39.15455, Antwort gesendet: 13:11:44.15611, Lamport-Zeit: 2)
Spieler_240 hat eine 33 gewürfelt! (START-Nachricht erhalten: 13:11:39.12170, Antwort gesendet: 13:11:43.12338, Lamport-Zeit: 2)
Spieler_108 hat eine 59 gewürfelt! (START-Nachricht erhalten: 13:11:39.10347, Antwort gesendet: 13:11:40.10505, Lamport-Zeit: 2)
Spieler_578 hat eine 26 gewürfelt! (START-Nachricht erhalten: 13:11:39.16828, Antwort gesendet: 13:11:42.16983, Lamport-Zeit: 2)
Spieler_170 hat eine 5 gewürfelt! (START-Nachricht erhalten: 13:11:39.11195, Antwort gesendet: 13:11:39.11289, Lamport-Zeit: 2)
Spieler_297 hat eine 47 gewürfelt! (START-Nachricht erhalten: 13:11:39.12931, Antwort gesendet: 13:11:39.13028, Lamport-Zeit: 2)
Spieler_272 hat eine 32 gewürfelt! (START-Nachricht erhalten: 13:11:39.12601, Antwort gesendet: 13:11:44.12758, Lamport-Zeit: 2)
Spieler_396 hat eine 6 gewürfelt! (START-Nachricht erhalten: 13:11:39.14288, Antwort gesendet: 13:11:42.14438, Lamport-Zeit: 2)
Spieler_442 hat eine 70 gewürfelt! (START-Nachricht erhalten: 13:11:39.14949, Antwort gesendet: 13:11:43.15102, Lamport-Zeit: 2)
Spieler_480 hat eine 38 gewürfelt! (START-Nachricht erhalten: 13:11:39.15483, Antwort gesendet: 13:11:42.15633, Lamport-Zeit: 2)
Spieler_104 hat eine 18 gewürfelt! (START-Nachricht erhalten: 13:11:39.10287, Antwort gesendet: 13:11:39.10417, Lamport-Zeit: 2)
Spieler_696 hat eine 75 gewürfelt! (START-Nachricht erhalten: 13:11:39.18560, Antwort gesendet: 13:11:42.18757, Lamport-Zeit: 2)
Spieler_134 hat eine 9 gewürfelt! (START-Nachricht erhalten: 13:11:39.10706, Antwort gesendet: 13:11:39.10801, Lamport-Zeit: 2)
Spieler_598 hat eine 35 gewürfelt! (START-Nachricht erhalten: 13:11:39.17107, Antwort gesendet: 13:11:39.17194, Lamport-Zeit: 2)
Spieler_793 hat eine 62 gewürfelt! (START-Nachricht erhalten: 13:11:39.19977, Antwort gesendet: 13:11:44.20152, Lamport-Zeit: 2)
Spieler_667 hat eine 21 gewürfelt! (START-Nachricht erhalten: 13:11:39.18123, Antwort gesendet: 13:11:40.18282, Lamport-Zeit: 2)
Spieler_152 hat eine 15 gewürfelt! (START-Nachricht erhalten: 13:11:39.10969, Antwort gesendet: 13:11:41.11119, Lamport-Zeit: 2)
Spieler_121 hat eine 5 gewürfelt! (START-Nachricht erhalten: 13:11:39.10530, Antwort gesendet: 13:11:39.10649, Lamport-Zeit: 2)
Spieler_559 hat eine 67 gewürfelt! (START-Nachricht erhalten: 13:11:39.16561, Antwort gesendet: 13:11:39.16653, Lamport-Zeit: 2)
Spieler_699 hat eine 42 gewürfelt! (START-Nachricht erhalten: 13:11:39.18584, Antwort gesendet: 13:11:40.18752, Lamport-Zeit: 2)
Spieler_498 hat eine 24 gewürfelt! (START-Nachricht erhalten: 13:11:39.15716, Antwort gesendet: 13:11:43.15877, Lamport-Zeit: 2)
Spieler_592 hat eine 72 gewürfelt! (START-Nachricht erhalten: 13:11:39.17023, Antwort gesendet: 13:11:44.17173, Lamport-Zeit: 2)
Spieler_640 hat eine 24 gewürfelt! (START-Nachricht erhalten: 13:11:39.17728, Antwort gesendet: 13:11:44.17896, Lamport-Zeit: 2)
Spieler_649 hat eine 70 gewürfelt! (START-Nachricht erhalten: 13:11:39.17870, Antwort gesendet: 13:11:44.18026, Lamport-Zeit: 2)
Spieler_638 hat eine 29 gewürfelt! (START-Nachricht erhalten: 13:11:39.17699, Antwort gesendet: 13:11:41.17850, Lamport-Zeit: 2)
Spieler_158 hat eine 31 gewürfelt! (START-Nachricht erhalten: 13:11:39.11043, Antwort gesendet: 13:11:42.11205, Lamport-Zeit: 2)
Spieler_189 hat eine 68 gewürfelt! (START-Nachricht erhalten: 13:11:39.11473, Antwort gesendet: 13:11:41.11607, Lamport-Zeit: 2)
Spieler_573 hat eine 66 gewürfelt! (START-Nachricht erhalten: 13:11:39.16757, Antwort gesendet: 13:11:44.16920, Lamport-Zeit: 2)
Spieler_771 hat eine 87 gewürfelt! (START-Nachricht erhalten: 13:11:39.19640, Antwort gesendet: 13:11:41.19793, Lamport-Zeit: 2)
Spieler_143 hat eine 44 gewürfelt! (START-Nachricht erhalten: 13:11:39.10839, Antwort gesendet: 13:11:42.10988, Lamport-Zeit: 2)
Spieler_215 hat eine 92 gewürfelt! (START-Nachricht erhalten: 13:11:39.11820, Antwort gesendet: 13:11:44.11974, Lamport-Zeit: 2)
Spieler_329 hat eine 49 gewürfelt! (START-Nachricht erhalten: 13:11:39.13363, Antwort gesendet: 13:11:41.13516, Lamport-Zeit: 2)
Spieler_503 hat eine 80 gewürfelt! (START-Nachricht erhalten: 13:11:39.15797, Antwort gesendet: 13:11:43.15949, Lamport-Zeit: 2)
Spieler_277 hat eine 25 gewürfelt! (START-Nachricht erhalten: 13:11:39.12678, Antwort gesendet: 13:11:40.12823, Lamport-Zeit: 2)
Spieler_75 hat eine 51 gewürfelt! (START-Nachricht erhalten: 13:11:39.9889, Antwort gesendet: 13:11:40.10058, Lamport-Zeit: 2)
Spieler_858 hat eine 93 gewürfelt! (START-Nachricht erhalten: 13:11:39.21041, Antwort gesendet: 13:11:40.21188, Lamport-Zeit: 2)
Spieler_885 hat eine 41 gewürfelt! (START-Nachricht erhalten: 13:11:39.21447, Antwort gesendet: 13:11:41.21603, Lamport-Zeit: 2)
Spieler_67 hat eine 24 gewürfelt! (START-Nachricht erhalten: 13:11:39.9773, Antwort gesendet: 13:11:44.9933, Lamport-Zeit: 2)
Spieler_452 hat eine 12 gewürfelt! (START-Nachricht erhalten: 13:11:39.15078, Antwort gesendet: 13:11:42.15225, Lamport-Zeit: 2)
Spieler_544 hat eine 94 gewürfelt! (START-Nachricht erhalten: 13:11:39.16350, Antwort gesendet: 13:11:41.16506, Lamport-Zeit: 2)
Spieler_584 hat eine 81 gewürfelt! (START-Nachricht erhalten: 13:11:39.16907, Antwort gesendet: 13:11:41.17058, Lamport-Zeit: 2)
Spieler_191 hat eine 24 gewürfelt! (START-Nachricht erhalten: 13:11:39.11498, Antwort gesendet: 13:11:41.11665, Lamport-Zeit: 2)
Spieler_497 hat eine 40 gewürfelt! (START-Nachricht erhalten: 13:11:39.15707, Antwort gesendet: 13:11:42.15852, Lamport-Zeit: 2)
Spieler_399 hat eine 84 gewürfelt! (START-Nachricht erhalten: 13:11:39.14337, Antwort gesendet: 13:11:42.14492, Lamport-Zeit: 2)
Spieler_410 hat eine 31 gewürfelt! (START-Nachricht erhalten: 13:11:39.14485, Antwort gesendet: 13:11:43.14640, Lamport-Zeit: 2)
Spieler_891 hat eine 28 gewürfelt! (START-Nachricht erhalten: 13:11:39.21533, Antwort gesendet: 13:11:44.21697, Lamport-Zeit: 2)
Spieler_846 hat eine 38 gewürfelt! (START-Nachricht erhalten: 13:11:39.20840, Antwort gesendet: 13:11:43.21017, Lamport-Zeit: 2)
Spieler_316 hat eine 68 gewürfelt! (START-Nachricht erhalten: 13:11:39.13193, Antwort gesendet: 13:11:43.13341, Lamport-Zeit: 2)
Spieler_695 hat eine 6 gewürfelt! (START-Nachricht erhalten: 13:11:39.18557, Antwort gesendet: 13:11:40.18722, Lamport-Zeit: 2)
Spieler_246 hat eine 17 gewürfelt! (START-Nachricht erhalten: 13:11:39.12280, Antwort gesendet: 13:11:42.12439, Lamport-Zeit: 2)
Spieler_884 hat eine 31 gewürfelt! (START-Nachricht erhalten: 13:11:39.21433, Antwort gesendet: 13:11:43.21582, Lamport-Zeit: 2)
Spieler_889 hat eine 10 gewürfelt! (START-Nachricht erhalten: 13:11:39.21506, Antwort gesendet: 13:11:39.21614, Lamport-Zeit: 2)
Spieler_807 hat eine 31 gewürfelt! (START-Nachricht erhalten: 13:11:39.20194, Antwort gesendet: 13:11:41.20346, Lamport-Zeit: 2)
Spieler_818 hat eine 48 gewürfelt! (START-Nachricht erhalten: 13:11:39.20362, Antwort gesendet: 13:11:40.20538, Lamport-Zeit: 2)
Spieler_844 hat eine 79 gewürfelt! (START-Nachricht erhalten: 13:11:39.20807, Antwort gesendet: 13:11:42.20987, Lamport-Zeit: 2)
Spieler_211 hat eine 28 gewürfelt! (START-Nachricht erhalten: 13:11:39.11774, Antwort gesendet: 13:11:41.11946, Lamport-Zeit: 2)
Spieler_145 hat eine 2 gewürfelt! (START-Nachricht erhalten: 13:11:39.10863, Antwort gesendet: 13:11:42.11025, Lamport-Zeit: 2)
Spieler_54 hat eine 60 gewürfelt! (START-Nachricht erhalten: 13:11:39.9578, Antwort gesendet: 13:11:44.9747, Lamport-Zeit: 2)
Spieler_716 hat eine 27 gewürfelt! (START-Nachricht erhalten: 13:11:39.18825, Antwort gesendet: 13:11:39.18937, Lamport-Zeit: 2)
Spieler_830 hat eine 30 gewürfelt! (START-Nachricht erhalten: 13:11:39.20572, Antwort gesendet: 13:11:42.20732, Lamport-Zeit: 2)
Spieler_453 hat eine 57 gewürfelt! (START-Nachricht erhalten: 13:11:39.15093, Antwort gesendet: 13:11:39.15180, Lamport-Zeit: 2)
Spieler_419 hat eine 58 gewürfelt! (START-Nachricht erhalten: 13:11:39.14621, Antwort gesendet: 13:11:42.14776, Lamport-Zeit: 2)
Spieler_690 hat eine 99 gewürfelt! (START-Nachricht erhalten: 13:11:39.18476, Antwort gesendet: 13:11:40.18639, Lamport-Zeit: 2)
Spieler_8 hat eine 19 gewürfelt! (START-Nachricht erhalten: 13:11:39.8929, Antwort gesendet: 13:11:43.9122, Lamport-Zeit: 2)
Spieler_867 hat eine 89 gewürfelt! (START-Nachricht erhalten: 13:11:39.21174, Antwort gesendet: 13:11:40.21318, Lamport-Zeit: 2)
Spieler_350 hat eine 77 gewürfelt! (START-Nachricht erhalten: 13:11:39.13637, Antwort gesendet: 13:11:42.13790, Lamport-Zeit: 2)
Spieler_217 hat eine 96 gewürfelt! (START-Nachricht erhalten: 13:11:39.11853, Antwort gesendet: 13:11:44.12011, Lamport-Zeit: 2)
Spieler_212 hat eine 3 gewürfelt! (START-Nachricht erhalten: 13:11:39.11785, Antwort gesendet: 13:11:42.11938, Lamport-Zeit: 2)
Spieler_361 hat eine 14 gewürfelt! (START-Nachricht erhalten: 13:11:39.13783, Antwort gesendet: 13:11:42.13926, Lamport-Zeit: 2)
Spieler_563 hat eine 57 gewürfelt! (START-Nachricht erhalten: 13:11:39.16628, Antwort gesendet: 13:11:42.16794, Lamport-Zeit: 2)
Spieler_296 hat eine 48 gewürfelt! (START-Nachricht erhalten: 13:11:39.12918, Antwort gesendet: 13:11:39.13014, Lamport-Zeit: 2)
Spieler_899 hat eine 72 gewürfelt! (START-Nachricht erhalten: 13:11:39.21682, Antwort gesendet: 13:11:43.21823, Lamport-Zeit: 2)
Spieler_254 hat eine 42 gewürfelt! (START-Nachricht erhalten: 13:11:39.12362, Antwort gesendet: 13:11:40.12535, Lamport-Zeit: 2)
Spieler_875 hat eine 38 gewürfelt! (START-Nachricht erhalten: 13:11:39.21293, Antwort gesendet: 13:11:40.21449, Lamport-Zeit: 2)
Spieler_220 hat eine 48 gewürfelt! (START-Nachricht erhalten: 13:11:39.11898, Antwort gesendet: 13:11:40.12070, Lamport-Zeit: 2)
Spieler_549 hat eine 52 gewürfelt! (START-Nachricht erhalten: 13:11:39.16427, Antwort gesendet: 13:11:42.16584, Lamport-Zeit: 2)
Spieler_300 hat eine 86 gewürfelt! (START-Nachricht erhalten: 13:11:39.12976, Antwort gesendet: 13:11:42.13171, Lamport-Zeit: 2)
Spieler_788 hat eine 43 gewürfelt! (START-Nachricht erhalten: 13:11:39.19903, Antwort gesendet: 13:11:41.20063, Lamport-Zeit: 2)
Spieler_511 hat eine 51 gewürfelt! (START-Nachricht erhalten: 13:11:39.15891, Antwort gesendet: 13:11:39.15978, Lamport-Zeit: 2)
Spieler_708 hat eine 58 gewürfelt! (START-Nachricht erhalten: 13:11:39.18689, Antwort gesendet: 13:11:43.18873, Lamport-Zeit: 2)
Spieler_122 hat eine 60 gewürfelt! (START-Nachricht erhalten: 13:11:39.10538, Antwort gesendet: 13:11:41.10657, Lamport-Zeit: 2)
Spieler_144 hat eine 10 gewürfelt! (START-Nachricht erhalten: 13:11:39.10846, Antwort gesendet: 13:11:42.11001, Lamport-Zeit: 2)
Spieler_32 hat eine 55 gewürfelt! (START-Nachricht erhalten: 13:11:39.9270, Antwort gesendet: 13:11:39.9371, Lamport-Zeit: 2)
Spieler_77 hat eine 18 gewürfelt! (START-Nachricht erhalten: 13:11:39.9906, Antwort gesendet: 13:11:42.10100, Lamport-Zeit: 2)
Spieler_737 hat eine 13 gewürfelt! (START-Nachricht erhalten: 13:11:39.19100, Antwort gesendet: 13:11:42.19256, Lamport-Zeit: 2)
Spieler_542 hat eine 91 gewürfelt! (START-Nachricht erhalten: 13:11:39.16327, Antwort gesendet: 13:11:40.16491, Lamport-Zeit: 2)
Spieler_93 hat eine 51 gewürfelt! (START-Nachricht erhalten: 13:11:39.10130, Antwort gesendet: 13:11:42.10276, Lamport-Zeit: 2)
Spieler_0 hat eine 15 gewürfelt! (START-Nachricht erhalten: 13:11:39.8811, Antwort gesendet: 13:11:42.8984, Lamport-Zeit: 2)
