Runde 1 - gestartet um 2024-05-31 18:07:02.275080705 +02:00 - beendet um 2024-05-31 18:07:12.285684006 +02:00:
Lamportzeit zu Rundenstart: 1 und zu Rundenende: 403
Spieler_269 hat eine 89 gewürfelt! (START-Nachricht erhalten: 18:7:2.279029, Antwort gesendet: 18:7:9.279177, Lamport-Zeit: 2)
Spieler_181 hat eine 42 gewürfelt! (START-Nachricht erhalten: 18:7:2.277769, Antwort gesendet: 18:7:9.277926, Lamport-Zeit: 2)
Spieler_182 hat eine 6 gewürfelt! (START-Nachricht erhalten: 18:7:2.277788, Antwort gesendet: 18:7:9.277947, Lamport-Zeit: 2)
Spieler_85 hat eine 27 gewürfelt! (START-Nachricht erhalten: 18:7:2.276391, Antwort gesendet: 18:7:8.276749, Lamport-Zeit: 2)
Spieler_31 hat eine 91 gewürfelt! (START-Nachricht erhalten: 18:7:2.275629, Antwort gesendet: 18:7:2.275727, Lamport-Zeit: 2)
Spieler_100 hat eine 52 gewürfelt! (START-Nachricht erhalten: 18:7:2.276585, Antwort gesendet: 18:7:2.276689, Lamport-Zeit: 2)
Spieler_125 hat eine 70 gewürfelt! (START-Nachricht erhalten: 18:7:2.276965, Antwort gesendet: 18:7:9.277122, Lamport-Zeit: 2)
Spieler_338 hat eine 33 gewürfelt! (START-Nachricht erhalten: 18:7:2.279979, Antwort gesendet: 18:7:4.280151, Lamport-Zeit: 2)
Spieler_222 hat eine 4 gewürfelt! (START-Nachricht erhalten: 18:7:2.278347, Antwort gesendet: 18:7:2.278465, Lamport-Zeit: 2)
Spieler_289 hat eine 51 gewürfelt! (START-Nachricht erhalten: 18:7:2.279306, Antwort gesendet: 18:7:7.279470, Lamport-Zeit: 2)
Spieler_13 hat eine 64 gewürfelt! (START-Nachricht erhalten: 18:7:2.275324, Antwort gesendet: 18:7:10.275510, Lamport-Zeit: 2)
Spieler_90 hat eine 80 gewürfelt! (START-Nachricht erhalten: 18:7:2.276444, Antwort gesendet: 18:7:2.276537, Lamport-Zeit: 2)
Spieler_64 hat eine 91 gewürfelt! (START-Nachricht erhalten: 18:7:2.276102, Antwort gesendet: 18:7:7.276263, Lamport-Zeit: 2)
Spieler_207 hat eine 30 gewürfelt! (START-Nachricht erhalten: 18:7:2.278142, Antwort gesendet: 18:7:3.278326, Lamport-Zeit: 2)
