Runde 1 - gestartet um 2024-05-31 17:50:17.700039224 +02:00 - beendet um 2024-05-31 17:50:27.703264116 +02:00:
Lamportzeit zu Rundenstart: 1 und zu Rundenende: 103
Spieler_34 hat eine 24 gewürfelt! (START-Nachricht erhalten: 17:50:17.700542, Antwort gesendet: 17:50:20.700852, Lamport-Zeit: 2)
Spieler_40 hat eine 44 gewürfelt! (START-Nachricht erhalten: 17:50:17.700613, Antwort gesendet: 17:50:20.700823, Lamport-Zeit: 2)
Spieler_73 hat eine 52 gewürfelt! (START-Nachricht erhalten: 17:50:17.700971, Antwort gesendet: 17:50:17.701073, Lamport-Zeit: 2)
Spieler_0 hat eine 52 gewürfelt! (START-Nachricht erhalten: 17:50:17.700110, Antwort gesendet: 17:50:21.700322, Lamport-Zeit: 2)
Spieler_25 hat eine 10 gewürfelt! (START-Nachricht erhalten: 17:50:17.700428, Antwort gesendet: 17:50:23.700665, Lamport-Zeit: 2)
Spieler_12 hat eine 42 gewürfelt! (START-Nachricht erhalten: 17:50:17.700253, Antwort gesendet: 17:50:25.700424, Lamport-Zeit: 2)
Spieler_21 hat eine 99 gewürfelt! (START-Nachricht erhalten: 17:50:17.700378, Antwort gesendet: 17:50:20.700848, Lamport-Zeit: 2)
Spieler_31 hat eine 71 gewürfelt! (START-Nachricht erhalten: 17:50:17.700516, Antwort gesendet: 17:50:18.700842, Lamport-Zeit: 2)
Spieler_82 hat eine 5 gewürfelt! (START-Nachricht erhalten: 17:50:17.701078, Antwort gesendet: 17:50:19.701257, Lamport-Zeit: 2)
Spieler_33 hat eine 1 gewürfelt! (START-Nachricht erhalten: 17:50:17.700530, Antwort gesendet: 17:50:18.700825, Lamport-Zeit: 2)
Spieler_78 hat eine 9 gewürfelt! (START-Nachricht erhalten: 17:50:17.701039, Antwort gesendet: 17:50:20.701197, Lamport-Zeit: 2)
Spieler_30 hat eine 2 gewürfelt! (START-Nachricht erhalten: 17:50:17.700496, Antwort gesendet: 17:50:23.700686, Lamport-Zeit: 2)
Spieler_76 hat eine 85 gewürfelt! (START-Nachricht erhalten: 17:50:17.701011, Antwort gesendet: 17:50:22.701164, Lamport-Zeit: 2)
Spieler_4 hat eine 52 gewürfelt! (START-Nachricht erhalten: 17:50:17.700141, Antwort gesendet: 17:50:23.700665, Lamport-Zeit: 2)
Spieler_3 hat eine 62 gewürfelt! (START-Nachricht erhalten: 17:50:17.700132, Antwort gesendet: 17:50:17.700250, Lamport-Zeit: 2)
Spieler_55 hat eine 86 gewürfelt! (START-Nachricht erhalten: 17:50:17.700774, Antwort gesendet: 17:50:23.700937, Lamport-Zeit: 2)
Spieler_60 hat eine 15 gewürfelt! (START-Nachricht erhalten: 17:50:17.700830, Antwort gesendet: 17:50:24.700990, Lamport-Zeit: 2)
Spieler_22 hat eine 85 gewürfelt! (START-Nachricht erhalten: 17:50:17.700388, Antwort gesendet: 17:50:24.700548, Lamport-Zeit: 2)
Spieler_53 hat eine 82 gewürfelt! (START-Nachricht erhalten: 17:50:17.700746, Antwort gesendet: 17:50:25.700921, Lamport-Zeit: 2)
Spieler_88 hat eine 25 gewürfelt! (START-Nachricht erhalten: 17:50:17.701136, Antwort gesendet: 17:50:17.701226, Lamport-Zeit: 2)
Spieler_56 hat eine 17 gewürfelt! (START-Nachricht erhalten: 17:50:17.700787, Antwort gesendet: 17:50:19.700952, Lamport-Zeit: 2)
Spieler_95 hat eine 16 gewürfelt! (START-Nachricht erhalten: 17:50:17.701216, Antwort gesendet: 17:50:19.701380, Lamport-Zeit: 2)
Spieler_91 hat eine 97 gewürfelt! (START-Nachricht erhalten: 17:50:17.701182, Antwort gesendet: 17:50:24.701382, Lamport-Zeit: 2)
Spieler_89 hat eine 15 gewürfelt! (START-Nachricht erhalten: 17:50:17.701152, Antwort gesendet: 17:50:21.701330, Lamport-Zeit: 2)
Spieler_16 hat eine 100 gewürfelt! (START-Nachricht erhalten: 17:50:17.700312, Antwort gesendet: 17:50:22.700666, Lamport-Zeit: 2)
Spieler_18 hat eine 69 gewürfelt! (START-Nachricht erhalten: 17:50:17.700342, Antwort gesendet: 17:50:21.700861, Lamport-Zeit: 2)
Spieler_48 hat eine 26 gewürfelt! (START-Nachricht erhalten: 17:50:17.700691, Antwort gesendet: 17:50:18.700851, Lamport-Zeit: 2)
Spieler_79 hat eine 1 gewürfelt! (START-Nachricht erhalten: 17:50:17.701049, Antwort gesendet: 17:50:24.701207, Lamport-Zeit: 2)
Spieler_9 hat eine 19 gewürfelt! (START-Nachricht erhalten: 17:50:17.700219, Antwort gesendet: 17:50:21.700412, Lamport-Zeit: 2)
Spieler_54 hat eine 70 gewürfelt! (START-Nachricht erhalten: 17:50:17.700757, Antwort gesendet: 17:50:21.700921, Lamport-Zeit: 2)
Spieler_24 hat eine 48 gewürfelt! (START-Nachricht erhalten: 17:50:17.700412, Antwort gesendet: 17:50:18.700825, Lamport-Zeit: 2)
Spieler_10 hat eine 43 gewürfelt! (START-Nachricht erhalten: 17:50:17.700236, Antwort gesendet: 17:50:18.700440, Lamport-Zeit: 2)
Spieler_50 hat eine 92 gewürfelt! (START-Nachricht erhalten: 17:50:17.700711, Antwort gesendet: 17:50:21.700897, Lamport-Zeit: 2)
Spieler_20 hat eine 43 gewürfelt! (START-Nachricht erhalten: 17:50:17.700371, Antwort gesendet: 17:50:20.700824, Lamport-Zeit: 2)
Spieler_99 hat eine 99 gewürfelt! (START-Nachricht erhalten: 17:50:17.701263, Antwort gesendet: 17:50:22.701427, Lamport-Zeit: 2)
Spieler_62 hat eine 98 gewürfelt! (START-Nachricht erhalten: 17:50:17.700850, Antwort gesendet: 17:50:17.700958, Lamport-Zeit: 2)
Spieler_15 hat eine 77 gewürfelt! (START-Nachricht erhalten: 17:50:17.700291, Antwort gesendet: 17:50:22.700668, Lamport-Zeit: 2)
Spieler_97 hat eine 73 gewürfelt! (START-Nachricht erhalten: 17:50:17.701240, Antwort gesendet: 17:50:23.701697, Lamport-Zeit: 2)
Spieler_57 hat eine 23 gewürfelt! (START-Nachricht erhalten: 17:50:17.700793, Antwort gesendet: 17:50:22.700970, Lamport-Zeit: 2)
Spieler_35 hat eine 7 gewürfelt! (START-Nachricht erhalten: 17:50:17.700557, Antwort gesendet: 17:50:23.700745, Lamport-Zeit: 2)
Spieler_90 hat eine 24 gewürfelt! (START-Nachricht erhalten: 17:50:17.701161, Antwort gesendet: 17:50:20.701343, Lamport-Zeit: 2)
Spieler_1 hat eine 71 gewürfelt! (START-Nachricht erhalten: 17:50:17.700107, Antwort gesendet: 17:50:24.700279, Lamport-Zeit: 2)
Spieler_23 hat eine 21 gewürfelt! (START-Nachricht erhalten: 17:50:17.700398, Antwort gesendet: 17:50:24.700568, Lamport-Zeit: 2)
Spieler_49 hat eine 78 gewürfelt! (START-Nachricht erhalten: 17:50:17.700709, Antwort gesendet: 17:50:24.700889, Lamport-Zeit: 2)
Spieler_65 hat eine 34 gewürfelt! (START-Nachricht erhalten: 17:50:17.700874, Antwort gesendet: 17:50:24.701039, Lamport-Zeit: 2)
Spieler_2 hat eine 25 gewürfelt! (START-Nachricht erhalten: 17:50:17.700115, Antwort gesendet: 17:50:19.700293, Lamport-Zeit: 2)
Spieler_45 hat eine 88 gewürfelt! (START-Nachricht erhalten: 17:50:17.700667, Antwort gesendet: 17:50:22.700831, Lamport-Zeit: 2)
Spieler_86 hat eine 55 gewürfelt! (START-Nachricht erhalten: 17:50:17.701116, Antwort gesendet: 17:50:24.701280, Lamport-Zeit: 2)
Spieler_87 hat eine 15 gewürfelt! (START-Nachricht erhalten: 17:50:17.701121, Antwort gesendet: 17:50:24.701277, Lamport-Zeit: 2)
Spieler_69 hat eine 82 gewürfelt! (START-Nachricht erhalten: 17:50:17.700924, Antwort gesendet: 17:50:25.701101, Lamport-Zeit: 2)
Spieler_43 hat eine 6 gewürfelt! (START-Nachricht erhalten: 17:50:17.700649, Antwort gesendet: 17:50:19.700833, Lamport-Zeit: 2)
Spieler_84 hat eine 49 gewürfelt! (START-Nachricht erhalten: 17:50:17.701095, Antwort gesendet: 17:50:24.701247, Lamport-Zeit: 2)
Spieler_27 hat eine 79 gewürfelt! (START-Nachricht erhalten: 17:50:17.700451, Antwort gesendet: 17:50:18.700817, Lamport-Zeit: 2)
Spieler_77 hat eine 34 gewürfelt! (START-Nachricht erhalten: 17:50:17.701021, Antwort gesendet: 17:50:19.701185, Lamport-Zeit: 2)
Spieler_13 hat eine 22 gewürfelt! (START-Nachricht erhalten: 17:50:17.700261, Antwort gesendet: 17:50:18.700457, Lamport-Zeit: 2)
Spieler_39 hat eine 68 gewürfelt! (START-Nachricht erhalten: 17:50:17.700607, Antwort gesendet: 17:50:22.700794, Lamport-Zeit: 2)
Spieler_68 hat eine 49 gewürfelt! (START-Nachricht erhalten: 17:50:17.700914, Antwort gesendet: 17:50:25.701101, Lamport-Zeit: 2)
Spieler_41 hat eine 79 gewürfelt! (START-Nachricht erhalten: 17:50:17.700625, Antwort gesendet: 17:50:19.700805, Lamport-Zeit: 2)
Spieler_74 hat eine 32 gewürfelt! (START-Nachricht erhalten: 17:50:17.700990, Antwort gesendet: 17:50:22.701151, Lamport-Zeit: 2)
Spieler_42 hat eine 23 gewürfelt! (START-Nachricht erhalten: 17:50:17.700636, Antwort gesendet: 17:50:24.700806, Lamport-Zeit: 2)
Spieler_59 hat eine 39 gewürfelt! (START-Nachricht erhalten: 17:50:17.700819, Antwort gesendet: 17:50:17.700913, Lamport-Zeit: 2)
Spieler_29 hat eine 31 gewürfelt! (START-Nachricht erhalten: 17:50:17.700492, Antwort gesendet: 17:50:19.700681, Lamport-Zeit: 2)
Spieler_38 hat eine 29 gewürfelt! (START-Nachricht erhalten: 17:50:17.700595, Antwort gesendet: 17:50:24.700764, Lamport-Zeit: 2)
Spieler_93 hat eine 22 gewürfelt! (START-Nachricht erhalten: 17:50:17.701194, Antwort gesendet: 17:50:18.701373, Lamport-Zeit: 2)
Spieler_58 hat eine 70 gewürfelt! (START-Nachricht erhalten: 17:50:17.700812, Antwort gesendet: 17:50:22.700970, Lamport-Zeit: 2)
Spieler_85 hat eine 14 gewürfelt! (START-Nachricht erhalten: 17:50:17.701098, Antwort gesendet: 17:50:18.701297, Lamport-Zeit: 2)
Spieler_8 hat eine 49 gewürfelt! (START-Nachricht erhalten: 17:50:17.700206, Antwort gesendet: 17:50:23.700688, Lamport-Zeit: 2)
Spieler_67 hat eine 41 gewürfelt! (START-Nachricht erhalten: 17:50:17.700903, Antwort gesendet: 17:50:25.701063, Lamport-Zeit: 2)
Spieler_17 hat eine 12 gewürfelt! (START-Nachricht erhalten: 17:50:17.700322, Antwort gesendet: 17:50:17.700418, Lamport-Zeit: 2)
Spieler_36 hat eine 55 gewürfelt! (START-Nachricht erhalten: 17:50:17.700568, Antwort gesendet: 17:50:17.700667, Lamport-Zeit: 2)
Spieler_26 hat eine 62 gewürfelt! (START-Nachricht erhalten: 17:50:17.700441, Antwort gesendet: 17:50:18.700823, Lamport-Zeit: 2)
Spieler_80 hat eine 17 gewürfelt! (START-Nachricht erhalten: 17:50:17.701064, Antwort gesendet: 17:50:17.701156, Lamport-Zeit: 2)
Spieler_47 hat eine 82 gewürfelt! (START-Nachricht erhalten: 17:50:17.700688, Antwort gesendet: 17:50:18.700852, Lamport-Zeit: 2)
Spieler_52 hat eine 36 gewürfelt! (START-Nachricht erhalten: 17:50:17.700739, Antwort gesendet: 17:50:18.700906, Lamport-Zeit: 2)
Spieler_14 hat eine 27 gewürfelt! (START-Nachricht erhalten: 17:50:17.700277, Antwort gesendet: 17:50:20.700824, Lamport-Zeit: 2)
Spieler_51 hat eine 2 gewürfelt! (START-Nachricht erhalten: 17:50:17.700733, Antwort gesendet: 17:50:21.700916, Lamport-Zeit: 2)
Spieler_37 hat eine 14 gewürfelt! (START-Nachricht erhalten: 17:50:17.700580, Antwort gesendet: 17:50:23.700762, Lamport-Zeit: 2)
Spieler_66 hat eine 75 gewürfelt! (START-Nachricht erhalten: 17:50:17.700891, Antwort gesendet: 17:50:21.701053, Lamport-Zeit: 2)
Spieler_6 hat eine 25 gewürfelt! (START-Nachricht erhalten: 17:50:17.700175, Antwort gesendet: 17:50:22.700345, Lamport-Zeit: 2)
Spieler_96 hat eine 34 gewürfelt! (START-Nachricht erhalten: 17:50:17.701220, Antwort gesendet: 17:50:19.701373, Lamport-Zeit: 2)
Spieler_64 hat eine 95 gewürfelt! (START-Nachricht erhalten: 17:50:17.700867, Antwort gesendet: 17:50:24.701032, Lamport-Zeit: 2)
Spieler_11 hat eine 26 gewürfelt! (START-Nachricht erhalten: 17:50:17.700242, Antwort gesendet: 17:50:20.700825, Lamport-Zeit: 2)
Spieler_7 hat eine 47 gewürfelt! (START-Nachricht erhalten: 17:50:17.700192, Antwort gesendet: 17:50:22.700394, Lamport-Zeit: 2)
Spieler_19 hat eine 17 gewürfelt! (START-Nachricht erhalten: 17:50:17.700356, Antwort gesendet: 17:50:18.700580, Lamport-Zeit: 2)
Spieler_28 hat eine 61 gewürfelt! (START-Nachricht erhalten: 17:50:17.700470, Antwort gesendet: 17:50:18.700839, Lamport-Zeit: 2)
Spieler_61 hat eine 93 gewürfelt! (START-Nachricht erhalten: 17:50:17.700838, Antwort gesendet: 17:50:22.700998, Lamport-Zeit: 2)
Spieler_81 hat eine 90 gewürfelt! (START-Nachricht erhalten: 17:50:17.701064, Antwort gesendet: 17:50:24.701224, Lamport-Zeit: 2)
Spieler_72 hat eine 59 gewürfelt! (START-Nachricht erhalten: 17:50:17.700968, Antwort gesendet: 17:50:25.701145, Lamport-Zeit: 2)
Spieler_83 hat eine 52 gewürfelt! (START-Nachricht erhalten: 17:50:17.701079, Antwort gesendet: 17:50:25.701238, Lamport-Zeit: 2)
Spieler_92 hat eine 13 gewürfelt! (START-Nachricht erhalten: 17:50:17.701184, Antwort gesendet: 17:50:25.701356, Lamport-Zeit: 2)
Spieler_63 hat eine 4 gewürfelt! (START-Nachricht erhalten: 17:50:17.700853, Antwort gesendet: 17:50:23.701015, Lamport-Zeit: 2)
Spieler_70 hat eine 31 gewürfelt! (START-Nachricht erhalten: 17:50:17.700944, Antwort gesendet: 17:50:19.701112, Lamport-Zeit: 2)
Spieler_46 hat eine 27 gewürfelt! (START-Nachricht erhalten: 17:50:17.700674, Antwort gesendet: 17:50:23.700863, Lamport-Zeit: 2)
Spieler_94 hat eine 11 gewürfelt! (START-Nachricht erhalten: 17:50:17.701201, Antwort gesendet: 17:50:22.701370, Lamport-Zeit: 2)
Spieler_5 hat eine 40 gewürfelt! (START-Nachricht erhalten: 17:50:17.700163, Antwort gesendet: 17:50:19.700339, Lamport-Zeit: 2)
Spieler_75 hat eine 49 gewürfelt! (START-Nachricht erhalten: 17:50:17.700999, Antwort gesendet: 17:50:21.701171, Lamport-Zeit: 2)
Spieler_32 hat eine 62 gewürfelt! (START-Nachricht erhalten: 17:50:17.700516, Antwort gesendet: 17:50:17.700617, Lamport-Zeit: 2)
Spieler_98 hat eine 45 gewürfelt! (START-Nachricht erhalten: 17:50:17.701246, Antwort gesendet: 17:50:24.701407, Lamport-Zeit: 2)
Spieler_44 hat eine 34 gewürfelt! (START-Nachricht erhalten: 17:50:17.700654, Antwort gesendet: 17:50:25.700847, Lamport-Zeit: 2)
Spieler_71 hat eine 65 gewürfelt! (START-Nachricht erhalten: 17:50:17.700954, Antwort gesendet: 17:50:21.701125, Lamport-Zeit: 2)
Runde 1 hat Spieler_16 mit folgendem Wurf gewonnen: 100!

Runde 2 - gestartet um 2024-05-31 17:50:27.706870826 +02:00 - beendet um 2024-05-31 17:50:37.710764618 +02:00:
Lamportzeit zu Rundenstart: 104 und zu Rundenende: 206
Spieler_34 hat eine 26 gewürfelt! (START-Nachricht erhalten: 17:50:27.707695, Antwort gesendet: 17:50:27.707762, Lamport-Zeit: 105)
Spieler_0 hat eine 42 gewürfelt! (START-Nachricht erhalten: 17:50:27.706906, Antwort gesendet: 17:50:33.707427, Lamport-Zeit: 105)
Spieler_73 hat eine 78 gewürfelt! (START-Nachricht erhalten: 17:50:27.744967, Antwort gesendet: 17:50:27.745049, Lamport-Zeit: 105)
Spieler_12 hat eine 86 gewürfelt! (START-Nachricht erhalten: 17:50:27.707190, Antwort gesendet: 17:50:30.707328, Lamport-Zeit: 105)
Spieler_25 hat eine 86 gewürfelt! (START-Nachricht erhalten: 17:50:27.707490, Antwort gesendet: 17:50:35.707741, Lamport-Zeit: 105)
Spieler_40 hat eine 63 gewürfelt! (START-Nachricht erhalten: 17:50:27.707818, Antwort gesendet: 17:50:35.707974, Lamport-Zeit: 105)
Spieler_21 hat eine 86 gewürfelt! (START-Nachricht erhalten: 17:50:27.707389, Antwort gesendet: 17:50:30.707513, Lamport-Zeit: 105)
Spieler_30 hat eine 16 gewürfelt! (START-Nachricht erhalten: 17:50:27.707614, Antwort gesendet: 17:50:28.707752, Lamport-Zeit: 105)
Spieler_31 hat eine 70 gewürfelt! (START-Nachricht erhalten: 17:50:27.707640, Antwort gesendet: 17:50:28.707782, Lamport-Zeit: 105)
Spieler_33 hat eine 95 gewürfelt! (START-Nachricht erhalten: 17:50:27.707670, Antwort gesendet: 17:50:28.707769, Lamport-Zeit: 105)
Spieler_78 hat eine 67 gewürfelt! (START-Nachricht erhalten: 17:50:27.708694, Antwort gesendet: 17:50:28.708811, Lamport-Zeit: 105)
Spieler_60 hat eine 18 gewürfelt! (START-Nachricht erhalten: 17:50:27.708304, Antwort gesendet: 17:50:29.708420, Lamport-Zeit: 105)
Spieler_4 hat eine 26 gewürfelt! (START-Nachricht erhalten: 17:50:27.706984, Antwort gesendet: 17:50:30.707119, Lamport-Zeit: 105)
Spieler_55 hat eine 99 gewürfelt! (START-Nachricht erhalten: 17:50:27.708202, Antwort gesendet: 17:50:27.708248, Lamport-Zeit: 105)
Spieler_53 hat eine 38 gewürfelt! (START-Nachricht erhalten: 17:50:27.708146, Antwort gesendet: 17:50:31.708272, Lamport-Zeit: 105)
Spieler_82 hat eine 26 gewürfelt! (START-Nachricht erhalten: 17:50:27.708738, Antwort gesendet: 17:50:34.708861, Lamport-Zeit: 105)
Spieler_3 hat eine 94 gewürfelt! (START-Nachricht erhalten: 17:50:27.744939, Antwort gesendet: 17:50:34.745109, Lamport-Zeit: 105)
Spieler_22 hat eine 52 gewürfelt! (START-Nachricht erhalten: 17:50:27.707413, Antwort gesendet: 17:50:29.707548, Lamport-Zeit: 105)
Spieler_76 hat eine 99 gewürfelt! (START-Nachricht erhalten: 17:50:27.708650, Antwort gesendet: 17:50:35.709098, Lamport-Zeit: 105)
Spieler_88 hat eine 91 gewürfelt! (START-Nachricht erhalten: 17:50:27.744946, Antwort gesendet: 17:50:31.745118, Lamport-Zeit: 105)
Spieler_56 hat eine 12 gewürfelt! (START-Nachricht erhalten: 17:50:27.708226, Antwort gesendet: 17:50:28.708353, Lamport-Zeit: 105)
Spieler_95 hat eine 83 gewürfelt! (START-Nachricht erhalten: 17:50:27.708910, Antwort gesendet: 17:50:27.708951, Lamport-Zeit: 105)
Spieler_91 hat eine 37 gewürfelt! (START-Nachricht erhalten: 17:50:27.708851, Antwort gesendet: 17:50:28.708959, Lamport-Zeit: 105)
Spieler_89 hat eine 68 gewürfelt! (START-Nachricht erhalten: 17:50:27.708824, Antwort gesendet: 17:50:32.708944, Lamport-Zeit: 105)
Spieler_16 hat eine 92 gewürfelt! (START-Nachricht erhalten: 17:50:27.707292, Antwort gesendet: 17:50:29.707460, Lamport-Zeit: 105)
Spieler_18 hat eine 12 gewürfelt! (START-Nachricht erhalten: 17:50:27.707314, Antwort gesendet: 17:50:29.707432, Lamport-Zeit: 105)
Spieler_48 hat eine 3 gewürfelt! (START-Nachricht erhalten: 17:50:27.708015, Antwort gesendet: 17:50:30.708151, Lamport-Zeit: 105)
Spieler_79 hat eine 44 gewürfelt! (START-Nachricht erhalten: 17:50:27.708707, Antwort gesendet: 17:50:28.708818, Lamport-Zeit: 105)
Spieler_9 hat eine 48 gewürfelt! (START-Nachricht erhalten: 17:50:27.707112, Antwort gesendet: 17:50:31.707244, Lamport-Zeit: 105)
Spieler_54 hat eine 7 gewürfelt! (START-Nachricht erhalten: 17:50:27.708184, Antwort gesendet: 17:50:35.708298, Lamport-Zeit: 105)
Spieler_24 hat eine 62 gewürfelt! (START-Nachricht erhalten: 17:50:27.707464, Antwort gesendet: 17:50:30.707588, Lamport-Zeit: 105)
Spieler_10 hat eine 32 gewürfelt! (START-Nachricht erhalten: 17:50:27.707139, Antwort gesendet: 17:50:28.707286, Lamport-Zeit: 105)
Spieler_69 hat eine 30 gewürfelt! (START-Nachricht erhalten: 17:50:27.708503, Antwort gesendet: 17:50:33.708618, Lamport-Zeit: 105)
Spieler_20 hat eine 7 gewürfelt! (START-Nachricht erhalten: 17:50:27.707365, Antwort gesendet: 17:50:31.707681, Lamport-Zeit: 105)
Spieler_99 hat eine 86 gewürfelt! (START-Nachricht erhalten: 17:50:27.708967, Antwort gesendet: 17:50:34.709097, Lamport-Zeit: 105)
Spieler_62 hat eine 69 gewürfelt! (START-Nachricht erhalten: 17:50:27.744972, Antwort gesendet: 17:50:28.745112, Lamport-Zeit: 105)
Spieler_97 hat eine 71 gewürfelt! (START-Nachricht erhalten: 17:50:27.708939, Antwort gesendet: 17:50:29.709070, Lamport-Zeit: 105)
Spieler_15 hat eine 95 gewürfelt! (START-Nachricht erhalten: 17:50:27.707263, Antwort gesendet: 17:50:30.707411, Lamport-Zeit: 105)
